     1	85.21
     2	83.48
     3	77.24
     4	72.94
     5	68.87
     6	65.97
     7	62.76
     8	60.73
     9	58.28
    10	56.29
    11	54.26
    12	52.87
    13	51.19
    14	50.04
    15	48.45
    16	47.24
    17	45.86
    18	45.02
    19	43.71
    20	43
    21	41.98
    22	41.12
    23	40.34
    24	39.78
    25	39
    26	38.35
    27	37.43
    28	36.71
    29	36.04
    30	35.43
    31	34.86
    32	34.33
    33	33.78
    34	33.22
    35	32.78
    36	32.43
    37	31.98
    38	31.65
    39	31.2
    40	30.7
    41	30.31
    42	29.99
    43	29.43
    44	28.99
    45	28.7
    46	28.46
    47	28.05
    48	27.8
    49	27.51
    50	27.21
