     1	85.97
     2	84.92
     3	79.68
     4	76.51
     5	73.34
     6	71.22
     7	68.55
     8	66.72
     9	64.79
    10	63.11
    11	61.23
    12	59.86
    13	58
    14	56.67
    15	55.67
    16	54.62
    17	53.44
    18	52.52
    19	51.67
    20	50.93
    21	50.12
    22	49.3
    23	48.56
    24	47.87
    25	47.17
    26	46.51
    27	45.85
    28	45.31
    29	44.81
    30	44.23
    31	43.71
    32	43.18
    33	42.84
    34	42.4
    35	42.13
    36	41.69
    37	41.3
    38	40.89
    39	40.49
    40	40.14
    41	39.81
    42	39.44
    43	39.09
    44	38.67
    45	38.42
    46	38.03
    47	37.73
    48	37.4
    49	37.2
    50	36.96
