     1	91.54
     2	91.01
     3	86.99
     4	84.61
     5	81.91
     6	79.86
     7	78.09
     8	76.27
     9	74.45
    10	72.71
    11	71.37
    12	70.02
    13	68.78
    14	67.45
    15	66.26
    16	65.04
    17	64
    18	62.92
    19	61.66
    20	60.55
    21	59.56
    22	58.62
    23	57.68
    24	56.84
    25	56.09
    26	55.32
    27	54.45
    28	53.82
    29	52.99
    30	52.29
    31	51.69
    32	51.12
    33	50.48
    34	49.91
    35	49.29
    36	48.64
    37	47.99
    38	47.42
    39	46.87
    40	46.39
    41	45.92
    42	45.53
    43	45.09
    44	44.54
    45	43.98
    46	43.65
    47	43.2
    48	42.72
    49	42.26
    50	41.71
