     1	87.9
     2	86.99
     3	81.84
     4	78.5
     5	74.88
     6	72.18
     7	69.97
     8	67.62
     9	65.64
    10	63.95
    11	61.99
    12	60.4
    13	59.31
    14	57.74
    15	56.42
    16	55.11
    17	53.98
    18	52.92
    19	51.92
    20	50.75
    21	49.85
    22	49.18
    23	48.03
    24	47.31
    25	46.39
    26	45.47
    27	44.76
    28	43.96
    29	43.26
    30	42.41
    31	41.68
    32	41.12
    33	40.47
    34	39.97
    35	39.49
    36	39
    37	38.36
    38	37.83
    39	37.23
    40	36.61
    41	35.96
    42	35.71
    43	35.29
    44	34.83
    45	34.36
    46	33.95
    47	33.56
    48	33.12
    49	32.68
    50	32.38
